Bandit,Reward,Algorithm
0,1,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
1,2,EpsilonGreedy
